,Year,Month,Day of Month,Date,State,Magnitude on F/EF scale,Number of injuries,Number of fatalities,Starting latitude,Starting longitude,Ending latitude,Ending longitude,Track length in KM,Tornado width in meters,Starting location,Ending location
55003,2011,4,19,19/04/2011,MO,1,0,0,39.2965,-91.2967,39.3192,-91.2254,6.63,137.16,"County Road 479, ,Pike County,Missouri,63339"," , ,Pike County,Missouri,63334"
55004,2011,4,19,19/04/2011,MO,1,0,0,37.2041,-90.35,37.2537,-90.28,8.3,457.2," ,Clubb,Wayne County,Missouri, "," , ,Wayne County,Missouri, "
55006,2011,4,19,19/04/2011,OH,0,0,0,40.59,-84.4556,40.6128,-84.3903,6.07,61.26,"Mercer Line Road, ,Mercer County,Ohio,45822","Easterly Road, ,Auglaize County,Ohio,45885"
55009,2011,4,19,19/04/2011,OH,1,0,0,40.6973,-84.4255,40.7326,-84.3651,6.49,91.44,"SR 116,Monticello,Van Wert County,Ohio,45887","Allentown Road, ,Allen County,Ohio,45887"
55011,2011,4,19,19/04/2011,OH,2,0,0,40.5496,-84.5549,40.5751,-84.4933,5.92,27.43,"East Market Street, ,Mercer County,Ohio,45822","Riley Road,Idlewild,Mercer County,Ohio,45822"
55015,2011,4,19,19/04/2011,OK,1,0,0,34.532,-94.9631,34.5542,-94.9074,5.63,91.44,"Honobia Loop, ,Pushmataha County,Oklahoma,74549"," , ,Le Flore County,Oklahoma, "
55017,2011,4,20,20/04/2011,KY,1,0,0,36.7364,-86.6439,36.7392,-86.5778,5.91,91.44,"Russellville Road, ,Simpson County,Kentucky,42134","Ogles Street, ,Simpson County,Kentucky,42134"
55018,2011,4,20,20/04/2011,MS,1,0,0,33.4723,-89.3745,33.5161,-89.3521,5.29,137.16,"Pellez Road,Pellez,Webster County,Mississippi,39767","Grady Road,Shady Grove,Webster County,Mississippi,39767"
55022,2011,4,20,20/04/2011,OH,1,0,0,39.5476,-83.2539,39.5565,-83.1755,6.79,182.88,"South Main Street,New Holland,Pickaway County,Ohio,43145","SR 207,Kozy Corners,Pickaway County,Ohio,43145"
55026,2011,4,20,20/04/2011,OH,2,0,0,40.0233,-82.4741,40.0346,-82.4029,6.2,91.44,"Aerospace Drive, ,Licking County,Ohio, ","Jacksontown Road SE, ,Licking County,Ohio,43056"
55028,2011,4,21,21/04/2011,TX,0,0,0,30.4725,-102.678,30.4184,-102.668,6.1,274.32," , ,Pecos County,Texas, "," , ,Pecos County,Texas, "
55029,2011,4,21,21/04/2011,TX,0,0,0,30.57,-102.677,30.453,-102.68,13.02,182.88," , ,Pecos County,Texas, "," , ,Pecos County,Texas, "
55031,2011,4,21,21/04/2011,TX,1,0,0,32.5697,-99.9799,32.6209,-100.039,7.98,182.88,"County Road 434, ,Jones County,Texas,79536"," , ,Jones County,Texas, "
55032,2011,4,21,21/04/2011,TX,2,0,0,30.2045,-102.445,30.1582,-102.325,12.59,731.52," , ,Terrell County,Texas, "," , ,Terrell County,Texas, "
55037,2011,4,22,22/04/2011,IL,2,1,0,38.3493,-90.1548,38.3398,-90.091,5.66,82.3,"Leah Drive, ,Monroe County,Illinois,62298","Kopp Road, ,Monroe County,Illinois,62298"
55038,2011,4,22,22/04/2011,IL,2,0,0,38.7034,-89.7144,38.7921,-89.3975,29.27,640.08,"Bluemound Road, ,Madison County,Illinois, ","Dudleyville Road,Beaver Creek,Bond County,Illinois,62246"
55039,2011,4,22,22/04/2011,IN,0,0,0,38.9848,-85.8968,38.9722,-85.8282,6.1,45.72,"North County Road 760 East, ,Jackson County,Indiana,47274","Whitney Way, ,Jackson County,Indiana,47274"
55041,2011,4,22,22/04/2011,KY,2,2,0,37.5892,-87.8407,37.6598,-87.5629,24.96,274.32,"KY 2153,Yuba,Union County,Kentucky,42437"," , ,Henderson County,Kentucky,42452"
55042,2011,4,22,22/04/2011,MO,1,0,0,38.7362,-90.9388,38.7306,-90.8027,11.83,228.6,"Freese Lane, ,Saint Charles County,Missouri,63348","MO DD, ,Saint Charles County,Missouri,63385"
55044,2011,4,22,22/04/2011,MO,4,5,0,38.7364,-90.4863,38.7326,-90.0927,34.28,804.67,"Creve Coeur Mill Road, ,Saint Louis County,Missouri,63146"," , ,Madison County,Illinois,62040"
55053,2011,4,23,23/04/2011,AR,1,0,0,35.825,-93.5305,35.9365,-93.0447,45.5,804.67,"State Highway 16,Boston,Madison County,Arkansas, ","Bethlehem Road, ,Newton County,Arkansas,72640"
55054,2011,4,23,23/04/2011,IL,1,0,0,37.1849,-88.7949,37.172,-88.6754,10.69,228.6," , ,Massac County,Illinois, ","Illinois Route 145, ,Massac County,Illinois,62960"
55058,2011,4,23,23/04/2011,KY,1,0,0,38.6985,-84.5393,38.7159,-84.4631,6.89,45.72,"Greenville Road, ,Grant County,Kentucky,41035","KY 467,Knoxville,Pendleton County,Kentucky,41033"
55061,2011,4,23,23/04/2011,KY,2,2,0,36.8802,-89.0328,36.8393,-88.9816,6.44,411.48," , ,Carlisle County,Kentucky,42023","County Road 1200, ,Carlisle County,Kentucky,42023"
55065,2011,4,24,24/04/2011,AR,1,0,0,34.2801,-94.0475,34.3221,-94.0157,5.5,68.58,"AR 84,Umpire,Howard County,Arkansas,71971","Midway Road, ,Howard County,Arkansas,71971"
55074,2011,4,24,24/04/2011,TX,0,0,0,32.4821,-99.381,32.4902,-99.2793,9.58,457.2," , ,Callahan County,Texas, "," , ,Callahan County,Texas, "
55076,2011,4,25,25/04/2011,AR,0,0,0,33.6304,-93.7993,33.6956,-93.6932,12.2,91.44,"AR 195, ,Hempstead County,Arkansas,71838","Hempstead 15 Road, ,Hempstead County,Arkansas, "
55077,2011,4,25,25/04/2011,AR,0,0,0,33.9026,-94.4111,33.9577,-94.3012,11.86,64.01,"AR 41,Oak Grove,Little River County,Arkansas,71866","Starlight Lane, ,Sevier County,Arkansas,71842"
55078,2011,4,25,25/04/2011,AR,1,0,0,34.4975,-93.9936,34.5513,-93.9149,9.37,45.72,"Dilbeck Lane, ,Polk County,Arkansas, ","Lewis Bend Road, ,Montgomery County,Arkansas,71961"
55079,2011,4,25,25/04/2011,AR,1,0,0,34.7201,-93.1026,34.7567,-92.9457,14.9,274.32,"Hickory Ridge Road, ,Garland County,Arkansas,71949","Weyerhaeuser 23245, ,Saline County,Arkansas, "
55080,2011,4,25,25/04/2011,AR,1,0,0,34.2911,-93.5089,34.409,-93.3695,33.57,731.52,"Maxey Road,Rosboro,Pike County,Arkansas,71921"," , ,Garland County,Arkansas, "
55081,2011,4,25,25/04/2011,AR,1,0,0,34.2416,-93.7019,34.274,-93.6386,6.84,274.32,"Tar 820 Road, ,Pike County,Arkansas,71950","US 70;AR 27;AR 84,Kirby,Pike County,Arkansas,71921:71943"
55082,2011,4,25,25/04/2011,AR,1,0,0,34.9522,-92.8326,35.0187,-92.7659,9.58,274.32,"County Road 14, ,Perry County,Arkansas,72126"," ,Sweet Home,Perry County,Arkansas,72126"
55083,2011,4,25,25/04/2011,AR,1,0,0,33.9666,-93.5451,34.0035,-93.4879,6.68,228.6,"AR 301,Kimberley,Pike County,Arkansas,71958","Old Caddo Gap Road, ,Pike County,Arkansas,71940"
55086,2011,4,25,25/04/2011,AR,1,0,0,34.5281,-92.0547,34.6821,-91.7182,35.31,731.52," , ,Pulaski County,Arkansas, ","Parkers Corner Road,Parkers Corner,Lonoke County,Arkansas,72024"
55087,2011,4,25,25/04/2011,AR,1,0,0,34.9309,-91.7342,35.0062,-91.6741,10.01,91.44,"Plainview Road,Crossroad,Prairie County,Arkansas, ","Country Lane, ,Prairie County,Arkansas,72040"
55088,2011,4,25,25/04/2011,AR,1,0,0,35.0511,-91.9398,35.0993,-91.7944,14.27,91.44,"AR 367, ,White County,Arkansas,72176","Lebanon Road, ,White County,Arkansas,72102"
55089,2011,4,25,25/04/2011,AR,2,9,0,34.454,-93.3165,34.4836,-93.2199,9.45,182.88,"Pearcy Road, ,Garland County,Arkansas,71933","Sunshine Village Square, ,Garland County,Arkansas,71968"
55090,2011,4,25,25/04/2011,AR,2,10,0,34.5066,-93.302,34.664,-93.135,23.24,274.32,"Ragweed Valley Road,Peak,Garland County,Arkansas,71968","Matt Trail, ,Garland County,Arkansas,71949"
55091,2011,4,25,25/04/2011,AR,2,4,0,34.872,-92.1702,34.9355,-92.122,8.32,320.04,"Jacksonville Cutoff Road, ,Pulaski County,Arkansas,72076","McKenzie Road, ,Pulaski County,Arkansas,72076"
55092,2011,4,25,25/04/2011,AR,2,16,4,34.8057,-92.6075,35.3098,-91.9473,109.6,2651.76,"Bandy Road, ,Pulaski County,Arkansas,72223"," , ,White County,Arkansas, "
55093,2011,4,25,25/04/2011,AR,3,20,1,34.5903,-93.039,34.733,-92.8,27,274.32,"Walnut Valley Road,Ozark Lithia,Garland County,Arkansas,71909"," , ,Saline County,Arkansas, "
55096,2011,4,25,25/04/2011,KY,1,0,0,37.0444,-88.1521,37.0495,-88.0944,5.15,45.72,"Iron Hill Road, ,Lyon County,Kentucky,42055"," , ,Lyon County,Kentucky, "
55097,2011,4,25,25/04/2011,KY,1,0,0,37.0756,-88.1021,37.2737,-87.9775,24.85,91.44,"Mint Spring Drive, ,Lyon County,Kentucky,42055","Buggs Road, ,Caldwell County,Kentucky,42064"
55098,2011,4,25,25/04/2011,MO,1,0,0,37.1278,-90.5339,37.1524,-90.2997,18.96,182.88,"State Highway U, ,Wayne County,Missouri,63956"," , ,Wayne County,Missouri, "
55099,2011,4,25,25/04/2011,MO,1,0,0,37.2112,-90.3706,37.243,-90.2716,9.46,457.2,"State Highway 34,Missionary Acres,Wayne County,Missouri,63964","236, ,Wayne County,Missouri, "
55101,2011,4,25,25/04/2011,OK,0,0,0,33.9714,-94.7912,34.0406,-94.6544,14.77,68.58,"N4640,Crossroads,McCurtain County,Oklahoma,74728","US 70,Tiner,McCurtain County,Oklahoma,74728"
55103,2011,4,25,25/04/2011,TN,0,0,0,35.7116,-88.5085,35.8389,-88.2494,27.33,182.88,"Holmes Road, ,Henderson County,Tennessee,38351","Pecan Tree Road, ,Carroll County,Tennessee,38387"
55104,2011,4,25,25/04/2011,TN,1,0,0,36.3961,-88.8048,36.5434,-88.6031,24.77,205.74,"Pierce Road, ,Weakley County,Tennessee, "," , ,Graves County,Kentucky, "
55114,2011,4,25,25/04/2011,TX,0,0,0,31.6882,-96.246,31.67,-96.1908,5.6,457.2," , ,Freestone County,Texas, ","County Road 601, ,Freestone County,Texas,75860"
55118,2011,4,25,25/04/2011,TX,1,0,0,32.0886,-95.2134,32.1262,-95.0736,13.81,68.58,"FM 177,Mixon,Cherokee County,Texas,75789","County Road 4625, ,Cherokee County,Texas,75789"
55120,2011,4,25,25/04/2011,TX,1,0,0,31.4568,-95.0273,31.4469,-94.8987,12.42,228.6,"County Road 2829, ,Cherokee County,Texas, ","Shirley Lane, ,Angelina County,Texas,75969"
55123,2011,4,26,26/04/2011,AR,0,0,0,34.3348,-90.8408,34.4639,-90.3796,44.93,182.88,"AR 44, ,Phillips County,Arkansas,72342","Six Mile Lake Road, ,Tunica County,Mississippi,38626"
55124,2011,4,26,26/04/2011,AR,0,0,0,34.137,-90.9843,34.3668,-90.5225,49.54,182.88,"AR 44,Ferguson,Phillips County,Arkansas, ","East Main Street, ,Coahoma County,Mississippi,38617"
55125,2011,4,26,26/04/2011,AR,1,0,0,34.5273,-91.9124,34.5707,-91.7763,13.37,731.52," , ,Lonoke County,Arkansas,72037"," , ,Lonoke County,Arkansas, "
55126,2011,4,26,26/04/2011,AR,1,0,0,35.1784,-92.1565,35.2733,-91.961,20.73,182.88,"State Highway 36, ,Faulkner County,Arkansas,72111","Alpine Lane, ,White County,Arkansas, "
55130,2011,4,26,26/04/2011,IN,2,0,0,38.1102,-87.3017,38.1642,-87.2544,7.29,274.32,"Wesley Road, ,Warrick County,Indiana, ","Eby Road,Eby,Warrick County,Indiana, "
55137,2011,4,26,26/04/2011,LA,0,0,0,32.6377,-93.7481,32.6879,-93.7323,5.78,45.72,"Benton Road,Brownlee,Bossier Parish,Louisiana,71111"," , ,Bossier Parish,Louisiana, "
55138,2011,4,26,26/04/2011,LA,0,0,0,32.4376,-92.6858,32.5128,-92.6348,9.62,73.15," , ,Jackson Parish,Louisiana, ","White Street, ,Lincoln Parish,Louisiana,71270"
55139,2011,4,26,26/04/2011,LA,0,0,0,32.4667,-92.4302,32.5152,-92.3617,8.38,64.01,"State Route 556,Cartwright,Jackson Parish,Louisiana,71227","Highway 151 North,Calhoun,Ouachita Parish,Louisiana,71225"
55142,2011,4,26,26/04/2011,LA,1,0,0,32.494,-93.295,32.57,-93.2295,10.44,137.16," , ,Webster Parish,Louisiana,71073","Shadows Lane, ,Webster Parish,Louisiana,71024"
55143,2011,4,26,26/04/2011,LA,1,0,0,32.3701,-92.8346,32.4328,-92.7832,8.48,91.44,"Domino Road, ,Bienville Parish,Louisiana, ","North Road, ,Bienville Parish,Louisiana, "
55144,2011,4,26,26/04/2011,LA,1,0,0,32.93,-92.77,33.22,-92.47,42.68,91.44,"LA 9,Summerfield,Claiborne Parish,Louisiana,71256","Rhodes Chapel Road,Lawson,Union County,Arkansas,71730"
55145,2011,4,26,26/04/2011,LA,1,1,0,32.9086,-91.9993,33.0453,-91.8759,19.36,402.34,"Molicy Bayou Road, ,Morehouse Parish,Louisiana, ","County Road 232, ,Ashley County,Arkansas, "
55146,2011,4,26,26/04/2011,LA,1,0,0,32.1878,-93.3254,32.1777,-93.2664,5.66,114.3,"Duke Avenue, ,Red River Parish,Louisiana,71019"," , ,Red River Parish,Louisiana, "
55147,2011,4,26,26/04/2011,LA,1,0,0,31.617,-93.406,31.703,-93.216,20.37,804.67,"Jubilique Lane,Fort Jesup,Sabine Parish,Louisiana,71449","LA 117, ,Natchitoches Parish,Louisiana, "
55148,2011,4,26,26/04/2011,LA,2,0,0,32.67,-91.44,32.7433,-91.2727,17.69,804.67,"Old Delhi Road North,Gowen,West Carroll Parish,Louisiana,71237","State Route 134,Waddell,East Carroll Parish,Louisiana,71254"
55149,2011,4,26,26/04/2011,LA,2,0,0,31.6199,-93.6951,31.6576,-93.4018,28.08,274.32,"Garcie Road, ,Sabine Parish,Louisiana,71486","Cedar Grove Road, ,Sabine Parish,Louisiana,71469"
55150,2011,4,26,26/04/2011,MI,0,0,0,42.7384,-85.8338,42.7627,-85.7774,5.34,45.72,"144th Avenue, ,Allegan County,Michigan,49323","24th Street, ,Allegan County,Michigan,49323"
55154,2011,4,26,26/04/2011,MS,2,3,0,33.5387,-90.5828,33.676,-90.4602,19.02,402.34,"Fox Lane, ,Sunflower County,Mississippi, "," , ,Sunflower County,Mississippi, "
55157,2011,4,26,26/04/2011,NY,1,0,0,42.432,-75.364,42.4777,-75.292,7.79,137.16,"Oregon Road,Village of Gilbertsville,Otsego County,New York,13776","County Highway 8,Heslops Corner,Otsego County,New York,13808"
55160,2011,4,26,26/04/2011,TN,0,0,0,35.4285,-88.5879,35.4909,-88.4633,13.24,22.86,"Enville Road, ,Chester County,Tennessee,38340","Saddle Club Road, ,Chester County,Tennessee,38368"
55162,2011,4,26,26/04/2011,TX,0,0,0,32.3655,-96.2048,32.4143,-96.14,8.16,457.2,"Texas, ,Kaufman County,Texas,75143","County Road 4018, ,Kaufman County,Texas,75143"
55163,2011,4,26,26/04/2011,TX,0,0,0,32.3666,-96.1644,32.3706,-96.0789,8.16,365.76," , ,Kaufman County,Texas, "," , ,Kaufman County,Texas, "
55165,2011,4,26,26/04/2011,TX,0,0,0,32.6302,-95.3479,32.6285,-95.2898,5.44,45.72,"US 80, ,Wood County,Texas, ","County Road 3840,Fouke,Wood County,Texas,75765"
55167,2011,4,26,26/04/2011,TX,0,0,0,32.4959,-94.1545,32.5396,-94.0663,9.59,64.01,"Bellview Road, ,Harrison County,Texas,75659","Masters Road, ,Harrison County,Texas,75692"
55169,2011,4,26,26/04/2011,TX,0,0,0,32.375,-95.3216,32.3782,-95.2672,5.12,54.86,"Cecil Avenue, ,Smith County,Texas,75702","County Road 376, ,Smith County,Texas,75708"
55173,2011,4,26,26/04/2011,TX,1,1,0,32.4313,-95.7028,32.5181,-95.4813,22.32,804.67,"VZ County Road 4702,Ben Wheeler,Van Zandt County,Texas,75744","FM 16,Garden Valley,Smith County,Texas,75771"
55174,2011,4,26,26/04/2011,TX,1,0,0,32.2848,-94.658,32.3791,-94.4486,22.31,91.44,"CR 2138, ,Rusk County,Texas, ","TX 43,Darco,Harrison County,Texas, "
55176,2011,4,26,26/04/2011,TX,2,0,0,32.4312,-94.3534,32.4557,-94.2695,8.34,365.76,"FM 2625 West, ,Harrison County,Texas,75672"," , ,Harrison County,Texas, "
55177,2011,4,26,26/04/2011,TX,2,2,0,32.0988,-94.0643,32.3921,-93.4274,68.19,777.24,"Pr 8631, ,Panola County,Texas, "," , ,Bossier Parish,Louisiana, "
55179,2011,4,27,27/04/2011,AL,0,0,0,34.7704,-87.152,34.7719,-87.0254,11.57,137.16," , ,Limestone County,Alabama, ","Evans Road, ,Limestone County,Alabama,35611"
55180,2011,4,27,27/04/2011,AL,0,0,0,34.7307,-87.0329,34.7363,-86.9617,6.53,45.72,"Wales Road, ,Limestone County,Alabama,35611","US Highway 31, ,Limestone County,Alabama, "
55181,2011,4,27,27/04/2011,AL,0,0,0,34.8653,-86.4911,34.8723,-86.4298,5.65,91.44,"Morning Mist Drive, ,Madison County,Alabama,35811","Lewis Mountain Road, ,Madison County,Alabama,35761"
55184,2011,4,27,27/04/2011,AL,1,0,0,34.9406,-88.0564,35.0081,-87.9086,14.79,182.88,"Bumpass Creek Road, ,Lauderdale County,Alabama,35677"," , ,Wayne County,Tennessee, "
55186,2011,4,27,27/04/2011,AL,1,4,0,33.6325,-87.6488,33.6943,-87.5462,11.72,160.93,"AL 18, ,Fayette County,Alabama,35546","AL 18,Corona,Fayette County,Alabama,35546"
55187,2011,4,27,27/04/2011,AL,1,0,0,33.378,-86.7509,33.4255,-86.7362,5.46,91.44,"Valleydale Road,Homestead,Shelby County,Alabama,35244","Caldwell Mill Road, ,Jefferson County,Alabama,35243"
55188,2011,4,27,27/04/2011,AL,1,0,0,34.0894,-86.5342,34.2449,-86.3554,23.87,182.88,"AL 79,Liberty,Blount County,Alabama,35031","Rocky Branch Drive, ,Marshall County,Alabama,35976"
55189,2011,4,27,27/04/2011,AL,1,0,0,34.2596,-86.4599,34.3458,-86.3014,17.77,68.58,"Hopewell Road,Hopewell,Blount County,Alabama,35016","Railroad Avenue, ,Marshall County,Alabama,35976"
55190,2011,4,27,27/04/2011,AL,1,0,0,34.2548,-86.4307,34.3324,-86.3705,10.25,91.44,"Berry Road,Red Hill,Marshall County,Alabama,35976","Warrenton Road, ,Marshall County,Alabama,35976"
55191,2011,4,27,27/04/2011,AL,1,0,0,34.2486,-86.2582,34.3114,-86.2323,7.37,45.72,"Max Graben Circle, ,Marshall County,Alabama,35950","Brashers Chapel Road, ,Marshall County,Alabama,35976"
55192,2011,4,27,27/04/2011,AL,1,0,0,34.2575,-86.3088,34.3231,-86.2486,9.16,45.72,"Section Line Road, ,Marshall County,Alabama,35950","Wyeth Mountain Road,Wyeth City,Marshall County,Alabama,35976"
55193,2011,4,27,27/04/2011,AL,1,0,0,34.2554,-86.3491,34.2989,-86.3215,5.46,91.44,"Pleasant Hill Road,Pleasant Grove,Marshall County,Alabama,35976","Pleasant Hill Road,Pleasant Grove,Marshall County,Alabama,35976"
55195,2011,4,27,27/04/2011,AL,1,0,0,34.2798,-86.3935,34.3273,-86.329,7.93,91.44,"Browns Valley Road,Meadow Wood,Marshall County,Alabama,35976","AL 79,Crossroads,Marshall County,Alabama,35031"
55196,2011,4,27,27/04/2011,AL,1,0,0,34.3836,-86.297,34.4426,-86.1995,11.09,274.32," , ,Marshall County,Alabama,35976","Star Point Road,Star Point Subdivision,Marshall County,Alabama,35976"
55197,2011,4,27,27/04/2011,AL,1,0,0,34.375,-86.2005,34.442,-86.1761,7.77,182.88,"Martling Gap Road,Martling,Marshall County,Alabama,35976","South Sauty Road,Five Points,Marshall County,Alabama,35976"
55199,2011,4,27,27/04/2011,AL,1,0,0,34.6004,-85.5835,34.6519,-85.5496,6.52,45.72,"County Road 89, ,DeKalb County,Alabama,35984","Scenic Drive, ,DeKalb County,Alabama, "
55200,2011,4,27,27/04/2011,AL,1,0,0,34.6452,-87.079,34.6686,-86.9241,14.4,68.58,"Iverson Boulevard, ,Morgan County,Alabama, ","I 65, ,Limestone County,Alabama,35671"
55201,2011,4,27,27/04/2011,AL,1,0,0,34.7554,-86.866,34.85,-86.44,40.73,182.88," , ,Limestone County,Alabama, "," ,Deposit,Madison County,Alabama,35761"
55203,2011,4,27,27/04/2011,AL,1,0,0,34.8004,-86.6226,34.8233,-86.4916,12.23,457.2,"Pulaski Pike Northwest,Lincoya,Madison County,Alabama,35810","Smithey Lane,McCaleb Mill,Madison County,Alabama,35811"
55205,2011,4,27,27/04/2011,AL,1,0,0,34.6655,-86.9172,34.7797,-86.7006,23.53,68.58,"I 65, ,Limestone County,Alabama,35671","Holbrook Drive, ,Madison County,Alabama,35806"
55206,2011,4,27,27/04/2011,AL,1,0,0,32.8478,-87.4922,32.9047,-87.3605,13.87,274.32,"County Road 85,Hogglesville,Hale County,Alabama,36744","AL 25,Mertz,Bibb County,Alabama, "
55207,2011,4,27,27/04/2011,AL,1,0,0,33.1169,-87.0081,33.156,-86.9274,8.71,45.72,"Bibb County 10,Garnsey,Bibb County,Alabama,35115","Springbrook Lane,Pea Ridge,Shelby County,Alabama, "
55208,2011,4,27,27/04/2011,AL,1,0,0,33.3507,-86.4013,33.4483,-86.3092,13.82,182.88,"County Road 62, ,Shelby County,Alabama,35078","Lakeview Circle, ,Talladega County,Alabama,35014"
55209,2011,4,27,27/04/2011,AL,1,0,0,32.5519,-87.3142,32.5748,-87.2466,6.82,91.44,"Emerson Turner Drive, ,Perry County,Alabama, ","County Road 4, ,Perry County,Alabama, "
55210,2011,4,27,27/04/2011,AL,1,0,0,32.9719,-85.3688,33.0114,-85.2916,8.43,137.16,"Chambers County 225, ,Chambers County,Alabama,36862","Chambers County 267,Fredonia,Chambers County,Alabama,36855"
55211,2011,4,27,27/04/2011,AL,1,0,0,33.0158,-85.2938,33.0836,-85.2633,8.06,91.44,"Chambers County 267,Fredonia,Chambers County,Alabama,36855","Chambers County 278,Standing Rock,Chambers County,Alabama,36855"
55212,2011,4,27,27/04/2011,AL,1,0,1,34.5735,-85.9678,34.8376,-85.5984,44.82,274.32,"Tammy Little Drive, ,Jackson County,Alabama,35771","County Road 169, ,DeKalb County,Alabama,35979"
55213,2011,4,27,27/04/2011,AL,2,0,0,33.3007,-88.1496,33.4445,-87.9699,23.11,1126.54,"County Road 7, ,Pickens County,Alabama,35447","County Road 3, ,Pickens County,Alabama,35481"
55214,2011,4,27,27/04/2011,AL,2,3,0,33.83,-86.8012,33.8627,-86.761,5.2,182.88,"Mabel Drive,Linton,Jefferson County,Alabama,35180"," , ,Blount County,Alabama, "
55215,2011,4,27,27/04/2011,AL,2,20,0,33.4367,-86.7622,33.498,-86.6493,12.49,182.88,"Country Ridge Place, ,Jefferson County,Alabama,35243","Grants Mill Road, ,Jefferson County,Alabama,35210"
55216,2011,4,27,27/04/2011,AL,2,5,0,33.6473,-86.4153,33.6848,-86.3661,6.18,182.88,"Petty Road, ,St. Clair County,Alabama,35120","Cedar Lane, ,St. Clair County,Alabama,35120"
55217,2011,4,27,27/04/2011,AL,2,0,0,34.3616,-86.3712,34.4629,-86.043,32.14,804.67,"AL 69, ,Marshall County,Alabama,35976","County Road 544, ,DeKalb County,Alabama,35975"
55218,2011,4,27,27/04/2011,AL,2,0,0,34.6372,-85.7691,34.7237,-85.7382,9.25,182.88,"Central Road, ,DeKalb County,Alabama,35978","AL 71,Shrader,Jackson County,Alabama,35765"
55219,2011,4,27,27/04/2011,AL,2,0,0,34.4059,-85.7294,34.4427,-85.625,10.41,228.6,"Dogtown Road Southeast, ,DeKalb County,Alabama,35967"," ,Pumpkin Center,DeKalb County,Alabama, "
55220,2011,4,27,27/04/2011,AL,2,0,1,33.9176,-87.0472,34.1656,-86.6104,48.8,804.67,"County Road 18, ,Cullman County,Alabama,35033","Holly Pond Blountsville Road, ,Cullman County,Alabama,35083"
55221,2011,4,27,27/04/2011,AL,3,0,0,33.2448,-87.8817,33.4268,-87.5605,36.15,643.74,"Grover Pate Road,Kirk,Pickens County,Alabama,35466","North Hagler Road, ,Tuscaloosa County,Alabama,35475"
55222,2011,4,27,27/04/2011,AL,3,0,0,33.163,-87.3716,33.296,-87.0594,32.61,182.88,"Staghorne Drive, ,Tuscaloosa County,Alabama,35453","Old Tuscaloosa Highway, ,Jefferson County,Alabama,35111"
55223,2011,4,27,27/04/2011,AL,3,20,0,33.5979,-87.3278,33.8176,-87.132,30.42,342.9," ,Browntown,Walker County,Alabama, ","Sandra Drive, ,Walker County,Alabama,35504"
55224,2011,4,27,27/04/2011,AL,3,25,0,34.0289,-87.9421,34.3039,-87.4968,51.24,1207.01,"US 43;US 278;AL 171, ,Marion County,Alabama,35563","Kinlock Road, ,Winston County,Alabama, "
55225,2011,4,27,27/04/2011,AL,3,0,0,33.8129,-87.8108,33.8683,-87.6892,12.81,804.67,"Housh Chapel Road, ,Fayette County,Alabama, ","County Road 24, ,Fayette County,Alabama,35554"
55226,2011,4,27,27/04/2011,AL,3,50,7,32.6152,-88.0543,33.1524,-86.9898,116.08,1609.34," , ,Greene County,Alabama, ","Bibb County 10,Marvel,Bibb County,Alabama,35115"
55227,2011,4,27,27/04/2011,AL,4,0,1,34.7948,-85.909,35.07,-85.5,48.67,1207.01,"County Road 45,Fackler,Jackson County,Alabama,35746","US 41;US 64;US 72, ,Marion County,Tennessee,37419"
55228,2011,4,27,27/04/2011,AL,4,48,6,34.0757,-87.0097,34.4935,-86.3628,75.45,804.67,"County Road 310, ,Cullman County,Alabama,35053","Simpson Point Road,Bucksnort,Marshall County,Alabama,35747"
55229,2011,4,27,27/04/2011,AL,4,30,7,32.6174,-86.193,32.9196,-85.523,71.1,804.67,"Grier Road,Greer,Elmore County,Alabama,36092","Chambers County 066, ,Chambers County,Alabama, "
55230,2011,4,27,27/04/2011,AL,4,54,13,33.2506,-88.1814,34.2831,-86.3491,205.67,1287.48,"Basinger Road, ,Pickens County,Alabama,35447","Clearview Lane, ,Marshall County,Alabama,35976"
55231,2011,4,27,27/04/2011,AL,4,50,14,34.6208,-85.9814,34.9531,-85.2666,75.61,1152.14,"AL 35, ,Jackson County,Alabama, ","Park City Road,Park City,Walker County,Georgia,30742"
55232,2011,4,27,27/04/2011,AL,4,85,22,33.6792,-86.5699,34.19,-84.99,156.64,1609.34,"Bluegill Cove, ,Jefferson County,Alabama,35173","Boss Road, ,Bartow County,Georgia,30145"
55233,2011,4,27,27/04/2011,AL,4,1500,64,33.0297,-87.935,33.6311,-86.7436,129.84,2377.44," , ,Greene County,Alabama, ","Red Wing Lane, ,Jefferson County,Alabama,35217"
55234,2011,4,27,27/04/2011,AL,5,0,25,34.3907,-85.9784,34.7661,-85.5241,58.95,1207.01,"AL 75, ,DeKalb County,Alabama,35971","Newsome Gap Road,Rising Fawn,Dade County,Georgia,30738"
55235,2011,4,27,27/04/2011,AL,5,145,72,34.1043,-88.1479,35.0857,-86.1511,212.43,2011.68,"Rudicell Road, ,Marion County,Alabama,35552","John Campbell Road, ,Franklin County,Tennessee, "
55240,2011,4,27,27/04/2011,GA,1,0,0,34.8586,-85.5323,34.9815,-85.4422,15.93,91.44,"Tanglewood, ,Dade County,Georgia,30752"," , ,Dade County,Georgia,30757"
